id,name,popularity,followers,genres,url
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,77,7723303,,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,78,41218077,,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,70,5518416,"french r&b, pop urbaine",https://open.spotify.com/artist/7IlRNXHjoOCgEAWN5qYksg
50co4Is1HCEo8bhOyUWKpn,Young Thug,84,12368419,"rap, melodic rap, trap",https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,76,12452460,,https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,144580633,,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,85,10249919,melodic rap,https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ
7JBaynR7JFeniONqbnn1U4,Andrew Choi,83,147647,k-pop,https://open.spotify.com/artist/7JBaynR7JFeniONqbnn1U4
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,83,43210478,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood, telugu pop",https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,88,122481538,soft pop,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V
68KmkJeZGfwe1OUaivBa2L,ATEEZ,74,5308828,"k-pop, noise music",https://open.spotify.com/artist/68KmkJeZGfwe1OUaivBa2L
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,67,2512569,"metalcore, post-hardcore, pop punk, screamo, emo",https://open.spotify.com/artist/4NiJW4q9ichVqL1aUsgGAN
5ZC7GPz5h9zkEfjZBUDNzI,Amble,62,153496,,https://open.spotify.com/artist/5ZC7GPz5h9zkEfjZBUDNzI
2AwAtRmbmsuIr40rJFIWlv,Adamn Killa,44,59365,cloud rap,https://open.spotify.com/artist/2AwAtRmbmsuIr40rJFIWlv
2ziB7fzrXBoh1HUPS6sVFn,Audioslave,69,5123910,"grunge, post-grunge, alternative metal",https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,60,852774,"trance, progressive trance, progressive house",https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe
7M5pDtJpCdnftEQZtczYco,Ayesha Erotica,69,1815989,hyperpop,https://open.spotify.com/artist/7M5pDtJpCdnftEQZtczYco
5delTPpDAtBDsjk60f5xnt,Autumn!,62,624017,underground hip hop,https://open.spotify.com/artist/5delTPpDAtBDsjk60f5xnt
5abSRg0xN1NV3gLbuvX24M,Amr Diab,70,11462833,"egyptian pop, khaleeji",https://open.spotify.com/artist/5abSRg0xN1NV3gLbuvX24M
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,73,1360886,,https://open.spotify.com/artist/0PCCGZ0wGLizHt2KZ7hhA2
7FNnA9vBm6EKceENgCGRMb,Anitta,78,13244696,"brazilian pop, funk pop, brazilian funk, funk carioca, pagode baiano",https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb
2qanRMyA5bNuTvz1dK45OP,ADÉLA,58,150524,,https://open.spotify.com/artist/2qanRMyA5bNuTvz1dK45OP
